Ministère porteur,Ministère nom complet,Nom du projet,Projet interministériel,Description et objectifs du projet,En savoir plus sur le projet,Début,Durée prévisionnelle en année,Phase du projet en cours,Coût estimé,Coût estimé par tranche,Zone fonctionnelle,Financement [programme(s)],Lien vers les Projets Annuels de Performances,Date de publication
SPM,Premier ministre,PNR,Oui,"Le projet interministériel API-PNR, placé sous l'autorité du Premier Ministre, vise à collecter et traiter les informations des passagers aériens à des fins de lutte contre le terrorisme et les formes graves de criminalité.",http://www.pnr.gouv.fr/,2011-07-01,6.4,Expérimentation,52.0,entre 20 et 100 M€,Protection et sécurité de l'espace national européen,Facilitation et sécurisation des échanges (P302),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM302.pdf#page=33,2017-06-01
SPM,Premier ministre,VITAM,Oui,"Le programme Vitam, lancé par les ministères des Affaires Etrangères, de la Culture et de la Défense, a pour but de mettre en place un socle d’archivage électronique implémenté par les porteurs du programme et réutilisable par les autres administrations.
A ce titre, une solution logicielle libre d'archivage numérique, évolutive, facilement interfaçable et qui permette la gestion unitaire et sécurisée de très gros volumes d’archives est en cours d’élaboration : Vitam.
Le programme couvre ainsi : le projet solution logicielle Vitam, les trois projets d'implémentation de la solution logicielle Vitam (ADAMANT, ArchipelNG et SAPHIR) dans les trois ministères porteurs du programme et le projet Ad-Essor qui vise à la promotion de l'archivage numérique et de la solution logicielle Vitam.

Les éléments d'information budgétaire sur cette fiche ne concernent que le projet solution logicielle, les autres projets du programme étant aussi référencés par ailleurs.",http://www.modernisation.gouv.fr/ladministration-change-avec-le-numerique/par-son-systeme-dinformation/vitam-vers-un-socle-d-archivage-electronique-commun-toute-l-administration,2013-07-01,6.8,Conception / Réalisation,26.3,entre 20 et 100 M€,Archives définitives,Coordination du travail gouvernemental (P129),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM129.pdf#page=40,2017-06-01
SPM,Premier ministre,Réseau Interministériel de l'Etat,Oui,"Le réseau interministériel de l’Etat (RIE) est un projet symbolique de la modernisation du système d’information (SI) de l’Etat. Opéré par le service à compétence nationale (SCN) RIE et rattaché à la DINSIC, au sein du secrétariat général pour la modernisation de l’action publique (SGMAP), ce réseau national remplace d’ici à 2017 les différents réseaux exploités par les 17 ministères. Les gains de cette infrastructure partagée ? Une seule maintenance, une seule gestion de la sécurité et surtout un seul canal pour échanger des données entre ministères.",http://www.modernisation.gouv.fr/ladministration-change-avec-le-numerique/par-son-systeme-dinformation/les-trois-grandes-missions-du-reseau-interministeriel-de-letat,2011-05-01,6.5,Déploiement,59.5,entre 20 et 100 M€,Gestion des Systèmes d'Information et de Communication,Coordination du travail gouvernemental (P129),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM129.pdf#page=41,2017-06-01
SPM,Premier ministre,SÉGUR-FONTENOY,Non,"Le projet Ségur, piloté par la DSI DSAF, vise à sécuriser le volet SI du regroupement de 15 services du Premier ministre, de deux cabinets ministériels, ainsi que de 8 autorités administratives indépendantes, au sein de l’ensemble immobilier Ségur-Fontenoy.
Les 2 500 utilisateurs concernés emménageront en deux vagues : 550 utilisateurs en T3 2016 et 1 860 utilisateurs en T4 2017.
Le projet vise plus spécifiquement à :
- définir et mettre en place le soutien SI des futurs occupants, en systématisant la mutualisation des services lorsque cela est possible,
- sécuriser la bonne prise en compte par les opérateurs des travaux de restructuration du site des besoins spécifiques aux SI,
- planifier les opérations de déménagement de T3 2016 et T4 2017.
Le déménagement est par ailleurs l’occasion pour la DSI DSAF de :
- concourir au schéma directeur des infrastructures DINSIC en démarrant la migration de ses salles vers un hébergeur ministériel et en ouvrant cette solution d’hébergement aux futurs occupants de Ségur,
- rationaliser, optimiser et industrialiser les opérations sur son SI, via le développement de services mutualisés ou externalisés et le développement de centres de services partagés.",http://www.info-fontenoysegur.fr/,2015-01-01,3.2,Conception / Réalisation,18.8,entre 9 et 20 M€,Immobilier,Coordination du travail gouvernemental (P129),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM129.pdf#page=42,2017-06-01
SPM,Premier ministre,FRANCECONNECT PHASE II,Oui,"FranceConnect est un dispositif permettant de simplifier et d'améliorer l'identification des usagers sur les services en ligne. Quand des échanges des données personnelles entre administrations simplifient des démarches en ligne, FranceConnect permet également de sécuriser ces échanges et de les placer sous le contrôle de l'usager. 
Un premier projet a permis la mise en place de ""FranceConnect Particuliers"", qui offre la possibilité aux usagers français de se connecter aux services en ligne de plusieurs administrations en utilisant les mêmes identifiants.
Le projet ""FranceConnect Phase II"" permettra l'extension de FranceConnect sur de nouveaux périmètres. En effet, ""FranceConnect Entreprises"" permettra d'apporter aux entreprises les mêmes simplifications que pour les particuliers. ""FranceConnect Agents"" concernera les agents publics. Par ailleurs l'interopérabilité à l'échelle européenne permettant des identifications transfrontalières sera mise en oeuvre.",https://franceconnect.gouv.fr/                                https://partenaires.franceconnect.gouv.fr/,2017-01-01,3.4,Conception / Réalisation,23.9,entre 20 et 100 M€,Gestion et contrôle des accès / Identification & Authentification,Coordination du travail gouvernemental (P129),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/PAP2017_BG_Direction_action_du_Gouvernement.pdf,2017-06-01
MCAS,Ministères Chargés des Affaires Sociales,Compte Personnel d'Activité,Oui,"Institué par la loi du 8 août 2016 relative au travail, à la modernisation du dialogue social et à la sécurisation des parcours professionnels, le compte personnel d’activité a pour objectifs, par l’utilisation des droits qui y sont inscrits, de renforcer l’autonomie et la liberté d’action des bénéficiaires, de sécuriser les parcours professionnels en supprimant les obstacles à la mobilité, de contribuer au droit à la qualification professionnelle, de faciliter l’accès à la formation et de reconnaitre l’engagement citoyen
Palier 1 : ouverture du nouveau portail début janvier 2017 conformément à l’entrée en vigueur prévue par la loi. Il comprend la visualisation des 3 compteurs de droits qui composent le CPA (compte personnel de formation, compte personnel de prévention de la pénibilité et compte d’engagement citoyen), la consultation des bulletins de paye dématérialisés, des services numériques de recherche de métiers et de formation à l’appui de la construction du projet professionnel.
Palier 2 : alimentation et utilisation des droits acquis au titre des activités bénévoles et de volontariat au sein du CEC (janvier 2018)
Palier 3 : alimentation et utilisation des droits CPF des travailleurs indépendants (janvier 2019)
L’intégration complète des agents publics dans le système d’information du CPA se fera progressivement d’ici au 1er janvier 2020 (date butoir fixée par l’ordonnance portant création du CPA des agents publics), même si des premières réalisations interviendront avant cette échéance. Le calendrier et le budget ne prennent pas en compte à ce stade la réalisation de ce palier qui est en cours de cadrage.
",www.moncompteactivité.gouv.fr,2015-12-01,3.1,Conception / Réalisation,24.0,entre 20 et 100 M€,Emploi et formation professionnelle,Accompagnement des mutations économiques et développement de L'emploi (P103),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/PAP2017_BG_Travail_emploi.pdf,2017-06-01
MCAS,Ministères Chargés des Affaires Sociales,"Dépl. PESE, Winpaie, RenoiRH + évol.SI connexes",Non,"Le projet recouvre l’ensemble des chantiers nécessaires au déploiement progressif de RenoiRH pour les MSO :
2014 Fin de mise en place du PESE et du déploiement de WIN-PAIE sur l’ensemble du périmètre (hors DOM).
2016  Démarrage de RenoiRH Gestion administrative (individuelle et collective) pour tous les statuts et corps gérés. Démarrage des modules RenoiRH de gestion de la formation et des congés avec un self-service agent. 
Deploiement d’un système de pilotage décisionnel RH exploitant les données gérées dans RenoiRH.
2016 Adaptation des applications RH ministérielles AGEP, CTS-Web, AGRA, CHIMED, avec interopérabilité Socle RH alimenté en flux quotidien par les données (INGRES et RenoiRH). 
2018 Démarrage de la préliquidation intégrée avec une phase pilote.",http://www.economie.gouv.fr/cisirh/accueil-renoirh,2012-01-01,6.0,Déploiement,27.1,entre 20 et 100 M€,Ressources Humaines,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative (P124) / Conception, gestion et évaluation des politiques de l'emploi et du Travail (P155)",http://www.performance-publique.budget.gouv.fr/documents-budgetaires/lois-projets-lois-documents-annexes-annee/exercice-2017/projet-loi-finances-2017-mission-direction-action-gouvernement#RPGM129,2017-06-01
MCAS,Ministères Chargés des Affaires Sociales,"SI-Samu  (étape ""Construction & Pilote"")",Non,"Programme de modernisation des systèmes d'information et de télécommunication des Samu-Centres 15.
Depuis 2007 de nombreux rapports ont mis à jour la nécessité de renforcer la capacité des SAMU à être des pivots de la régulation médicale, à la fois dans ses volets AMU et PDSA (avec l’émergence de la notion de régulation libérale au sein des SAMU). Cependant, malgré un accompagnement financier important, les plans d’investissement antérieurs pour la modernisation des SAMU n’ont pas atteint tous leurs objectifs, notamment faute d’un pilotage dépassant l’échelle des établissements de santé sièges de SAMU. Plusieurs études et audits, dont le rapport MARDEGAN (juillet 2010), dressent ainsi un état des lieux du fonctionnement des SAMU et font apparaître de nombreuses fragilités organisationnelles et technologiques, ainsi qu’une grande hétérogénéité des équipements, des ressources et des niveaux d’activités.
Ce constat fait apparaître la nécessité d’une forte action de modernisation des plateformes d’appels. A cette fin, la DGOS a entrepris un plan de modernisation des SAMU composé d’un volet financier, un volet organisationnel et un volet technologique. Ce dernier volet porte sur la modernisation des systèmes d’information (SI) et de télécommunication (télécom) des Centre de Réception et de Régulation des Appels (CRRA). 
L’ASIP Santé a été dès lors mandatée comme assistance à maîtrise d’ouvrage (AMOA) auprès de la DGOS pour définir un scénario cible de modernisation des SI et télécom.
Le SI-Samu est principalement composé d’un logiciel de régulation médicale (fonctionnellement riche), couplé à une architecture de téléphonie avancée à même de gérer une distribution intelligente des appels. Mutualisé, fortement sécurisé via une architecture distribuée grâce à maillage local des composants techniques critiques et interconnecté avec les partenaires des Samu, le SI-Samu permet d’apporter une réponse efficace aux enjeux structurants de l’aide médicale urgente sur l’ensemble du territoire métropolitain et ultra-marin. La cible technique retenue pour la modernisation du système d’information et de télécommunications des Samu-Centres 15  consiste à mettre en place une solution fondée sur des technologies web, où applications, téléphonie et radiocommunication sont étroitement intégrées afin de bénéficier des fonctionnalités offertes par la téléphonie sur IP. Cette cible permet ainsi à l’ensemble des Samu-Centres 15 de profiter des capacités offertes par les évolutions technologiques majeures de ces dernières années.",http://esante.gouv.fr/services/programme-si-samu,2014-09-01,4.6,Conception / Réalisation,75.4,entre 20 et 100 M€,Offre de soins,Financement PLFSS,,2017-06-01
MEF,Ministères de l'Économie et des Finances,CPP 2017,Oui,"Le projet Chorus Portail Professionnel 2017 (CPP2017) vise à mettre en œuvre la facturation électronique pour les émetteurs de factures à destination de l’État, des collectivités territoriales et de leurs établissements publics, conformément à l’ordonnance n°2014-697 du 26 juin 2014. Depuis le 1er janvier 2017, le portail Chorus Pro offre un portail unique pour le dépôt, la réception et la transmission des factures électroniques. La phase de généralisation de la facturation électronique permettra à plus d’un million de fournisseurs de la sphère publique d'accéder progressivement à ce service entre 2017 et 2020 en fonction du calendrier de l'ordonnance.
",https://chorus-pro.gouv.fr/,2013-10-01,4.0,Déploiement,33.2,entre 20 et 100 M€,Relation Fournisseurs,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=23,2017-06-01
MEF,Ministères de l'Économie et des Finances,ENSAP,Oui,"Mise à disposition des agents publics d'un portail sécurisé dans les domaines de la rémunération et de la retraite (documents déposés à leur intention, informations sur leur situation personnelle, outils de simulation retraite et espace de dialogue)",https://ensap.gouv.fr,2013-10-01,5.4,Conception / Réalisation,10.0,entre 9 et 20 M€,Relation avec les Agents,Gestion fiscale et financière de l'État et du secteur public local (P156),https://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM156.pdf#page=35,2017-06-01
